model,company,input,output,input_name,output_name
gpt-3.5-turbo-0125,openai,0.5,1.5,prompt_tokens,completion_tokens
gpt-3.5-turbo-0301,openai,1.5,2,prompt_tokens,completion_tokens
gpt-4,openai,30,60,prompt_tokens,completion_tokens
gpt-4-0125-preview,openai,10,30,prompt_tokens,completion_tokens
gpt-4o,openai,2.5,10,prompt_tokens,completion_tokens
gpt-4o-2024-05-13,openai,5,15,prompt_tokens,completion_tokens
gpt-4o-2024-08-06,openai,2.5,10,prompt_tokens,completion_tokens
gpt-4o-mini,openai,0.15,0.6,prompt_tokens,completion_tokens
gpt-4o-mini-2024-07-18,openai,0.15,0.6,prompt_tokens,completion_tokens
gpt-4o-2024-11-20,openai,2.5,10,prompt_tokens,completion_tokens
o1,openai,15,60,prompt_tokens,completion_tokens
o1-2024-12-17,openai,15,60,prompt_tokens,completion_tokens
o1-preview,openai,15,60,prompt_tokens,completion_tokens
o1-preview-2024-09-12,openai,15,60,prompt_tokens,completion_tokens
o1-mini,openai,3,12,prompt_tokens,completion_tokens
o1-mini-2024-09-12,openai,3,12,prompt_tokens,completion_tokens
gemini-1.5-flash,google,0.075,0.3,prompt_token_count,candidates_token_count
gemini-1.5-pro,google,1.5,5,prompt_token_count,candidates_token_count
gemini-2.0-flash,google,0.1,0.4,prompt_token_count,candidates_token_count
gemini-2.0-flash-lite,google,0.075,0.3,prompt_token_count,candidates_token_count
