atlas.views DEBUG 2025-05-12 15:48:06,441 views User can edit observations: False
atlas.views DEBUG 2025-05-12 15:52:50,552 views User can edit observations: True
atlas.views DEBUG 2025-05-12 22:01:03,804 views User can edit observations: True
atlas.views DEBUG 2025-05-12 22:01:06,018 views User can edit observations: True
urllib3.connectionpool DEBUG 2025-05-12 22:01:06,339 connectionpool Starting new HTTPS connection (1): lasair-ztf.lsst.ac.uk:443
urllib3.connectionpool DEBUG 2025-05-12 22:01:06,562 connectionpool https://lasair-ztf.lsst.ac.uk:443 "POST /api/cone/ HTTP/1.1" 200 2
urllib3.connectionpool DEBUG 2025-05-12 22:01:06,575 connectionpool Starting new HTTP connection (1): localhost:8084
matplotlib DEBUG 2025-05-12 22:01:10,596 __init__ matplotlib data path: /Users/kws/.local/lib/python3.11/site-packages/matplotlib/mpl-data
matplotlib DEBUG 2025-05-12 22:01:10,599 __init__ CONFIGDIR=/Users/kws/.matplotlib
matplotlib DEBUG 2025-05-12 22:01:10,599 __init__ interactive is False
matplotlib DEBUG 2025-05-12 22:01:10,600 __init__ platform is darwin
matplotlib DEBUG 2025-05-12 22:01:10,630 __init__ CACHEDIR=/Users/kws/.matplotlib
matplotlib.font_manager DEBUG 2025-05-12 22:01:10,632 font_manager Using fontManager instance from /Users/kws/.matplotlib/fontlist-v390.json
urllib3.connectionpool DEBUG 2025-05-12 22:01:10,831 connectionpool Starting new HTTPS connection (1): dataverse.harvard.edu:443
urllib3.connectionpool DEBUG 2025-05-12 22:01:11,560 connectionpool https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId?persistentId=doi:10.7910/DVN/EWCNL5 HTTP/1.1" 200 None
urllib3.connectionpool DEBUG 2025-05-12 22:01:11,671 connectionpool Starting new HTTPS connection (1): dataverse.harvard.edu:443
urllib3.connectionpool DEBUG 2025-05-12 22:01:12,190 connectionpool https://dataverse.harvard.edu:443 "GET /api/access/datafile/2902687 HTTP/1.1" 303 0
urllib3.connectionpool DEBUG 2025-05-12 22:01:12,199 connectionpool Starting new HTTPS connection (1): dvn-cloud.s3.amazonaws.com:443
urllib3.connectionpool DEBUG 2025-05-12 22:01:12,738 connectionpool https://dvn-cloud.s3.amazonaws.com:443 "GET /10.7910/DVN/EWCNL5/157bb43e038-2856c7e44170?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27SFD_dust_4096_ngp.fits&response-content-type=application%2Ffits&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250512T220112Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Credential=AKIAIEJ3NV7UYCSRJC7A%2F20250512%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1d4139e3dac30c2abc684be231005fd0c99224c7a207337a3911e50b315abd17 HTTP/1.1" 200 67115520
urllib3.connectionpool DEBUG 2025-05-12 22:01:16,190 connectionpool Starting new HTTPS connection (1): dataverse.harvard.edu:443
urllib3.connectionpool DEBUG 2025-05-12 22:01:16,845 connectionpool https://dataverse.harvard.edu:443 "GET /api/datasets/:persistentId?persistentId=doi:10.7910/DVN/EWCNL5 HTTP/1.1" 200 None
urllib3.connectionpool DEBUG 2025-05-12 22:01:16,954 connectionpool Starting new HTTPS connection (1): dataverse.harvard.edu:443
urllib3.connectionpool DEBUG 2025-05-12 22:01:17,471 connectionpool https://dataverse.harvard.edu:443 "GET /api/access/datafile/2902695 HTTP/1.1" 303 0
urllib3.connectionpool DEBUG 2025-05-12 22:01:17,479 connectionpool Starting new HTTPS connection (1): dvn-cloud.s3.amazonaws.com:443
urllib3.connectionpool DEBUG 2025-05-12 22:01:18,080 connectionpool https://dvn-cloud.s3.amazonaws.com:443 "GET /10.7910/DVN/EWCNL5/157bb8a4df2-7537b98d9920?response-content-disposition=attachment%3B%20filename%2A%3DUTF-8%27%27SFD_dust_4096_sgp.fits&response-content-type=application%2Ffits&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250512T220117Z&X-Amz-SignedHeaders=host&X-Amz-Expires=3600&X-Amz-Credential=AKIAIEJ3NV7UYCSRJC7A%2F20250512%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=01690cfbe6f80894ff9aabe287f89b2190421ea5351d5ac4b01835d33cb4efcd HTTP/1.1" 200 67115520
